workload_id,application_name,feature_name,workload_class,experiment_id,business_owner,technical_owner,budget_owner,department,team,cost_center,environment,provider_channel_id,approved_route_id,deployment_method,data_sensitivity,production_status,budget_status,annual_budget_usd,threshold_policy_id,governance_policy_id,review_date,effective_start,effective_end
P2-W001,Customer Support Copilot,Agent-assisted support response,PRODUCTION,,VP Customer Operations,Support AI Lead,Customer and Growth Finance,Customer and Growth,Support AI,CC-CG-100,PRODUCTION,OPENAI_DIRECT,ROUTE-001,DIRECT_API,CONFIDENTIAL,ACTIVE,PENDING_M22,,THR-001,GOV-PII-US,2026-09-30,2026-01-01,9999-12-31
P2-W002,Product Search and Embeddings,Semantic product retrieval,PRODUCTION,,VP Digital Commerce,Search Platform Lead,Customer and Growth Finance,Customer and Growth,Search Platform,CC-CG-200,PRODUCTION,VERTEX_AI_GEMINI,ROUTE-002,CLOUD_MANAGED_API,INTERNAL,ACTIVE,PENDING_M22,,THR-002,GOV-INTERNAL-US,2026-09-30,2026-01-01,9999-12-31
P2-W003,Marketing Content Studio,Campaign content generation,PRODUCTION,,VP Marketing,Growth AI Lead,Customer and Growth Finance,Customer and Growth,Growth AI,CC-CG-300,PRODUCTION,OPENAI_DIRECT,ROUTE-003,DIRECT_API,INTERNAL,ACTIVE,PENDING_M22,,THR-003,GOV-INTERNAL-US,2026-09-30,2026-01-01,9999-12-31
P2-W004,Executive Insight Assistant,Executive briefing synthesis,PRODUCTION,,Chief Strategy Officer,Enterprise Knowledge Lead,Corporate Services Finance,Corporate Services,Enterprise Knowledge,CC-CS-400,PRODUCTION,ANTHROPIC_DIRECT,ROUTE-004,DIRECT_API,CONFIDENTIAL,ACTIVE,PENDING_M22,,THR-004,GOV-CONFIDENTIAL-US,2026-09-30,2026-01-01,9999-12-31
P2-W005,Developer Assistant,Code explanation and generation,PRODUCTION,,VP Engineering,Developer Productivity Lead,Engineering Finance,Engineering,Developer Productivity,CC-ENG-500,PRODUCTION,AMAZON_BEDROCK,ROUTE-005,CLOUD_MANAGED_API,CONFIDENTIAL,ACTIVE,PENDING_M22,,THR-005,GOV-CONFIDENTIAL-US,2026-09-30,2026-01-01,9999-12-31
P2-W006,Fraud Review Assistant,Fraud-case evidence review,PRODUCTION,,Chief Risk Officer,Risk AI Lead,Risk and Compliance Finance,Risk and Compliance,Risk AI,CC-RC-600,PRODUCTION,AMAZON_BEDROCK,ROUTE-006,CLOUD_MANAGED_API,RESTRICTED,ACTIVE,PENDING_M22,,THR-006,GOV-RESTRICTED-US,2026-09-30,2026-01-01,9999-12-31
P2-W007,Document Summarization,Operations document summaries,PRODUCTION,,VP Operations,Enterprise Knowledge Lead,Corporate Services Finance,Corporate Services,Enterprise Knowledge,CC-CS-700,PRODUCTION,VERTEX_AI_GEMINI,ROUTE-007,CLOUD_MANAGED_API,CONFIDENTIAL,ACTIVE,PENDING_M22,,THR-007,GOV-CONFIDENTIAL-US,2026-09-30,2026-01-01,9999-12-31
P2-W008,Internal Knowledge Assistant,Internal policy and knowledge retrieval,PRODUCTION,,VP Operations,Enterprise Knowledge Lead,Corporate Services Finance,Corporate Services,Enterprise Knowledge,CC-CS-710,PRODUCTION,HOSTED_OPEN_SOURCE,ROUTE-008,HOSTED_ENDPOINT,INTERNAL,ACTIVE,PENDING_M22,,THR-008,GOV-INTERNAL-US,2026-09-30,2026-01-01,9999-12-31
P2-X001,Executive Insight Assistant,Cache strategy experiment,EXPERIMENT,EXP-CACHE-001,Chief Strategy Officer,Enterprise Knowledge Lead,Corporate Services Finance,Corporate Services,Enterprise Knowledge,CC-CS-400,EXPERIMENT,ANTHROPIC_DIRECT,ROUTE-009,DIRECT_API,CONFIDENTIAL,CONTROLLED,PENDING_M22,,THR-009,GOV-CONFIDENTIAL-US,2026-06-30,2026-02-01,2026-06-30
P2-X002,Marketing Content Studio,Batch processing experiment,EXPERIMENT,EXP-BATCH-002,VP Marketing,Growth AI Lead,Customer and Growth Finance,Customer and Growth,Growth AI,CC-CG-300,EXPERIMENT,OPENAI_DIRECT,ROUTE-010,DIRECT_API,INTERNAL,CONTROLLED,PENDING_M22,,THR-010,GOV-INTERNAL-US,2026-06-30,2026-03-01,2026-06-30
P2-X003,Customer Support Copilot,Model routing experiment,EXPERIMENT,EXP-ROUTE-003,VP Customer Operations,Support AI Lead,Customer and Growth Finance,Customer and Growth,Support AI,CC-CG-100,EXPERIMENT,AMAZON_BEDROCK,ROUTE-011,CLOUD_MANAGED_API,CONFIDENTIAL,CONTROLLED,PENDING_M22,,THR-011,GOV-PII-US,2026-07-31,2026-04-01,2026-07-31
P2-X004,Document Summarization,Prompt efficiency experiment,EXPERIMENT,EXP-PROMPT-004,VP Operations,Enterprise Knowledge Lead,Corporate Services Finance,Corporate Services,Enterprise Knowledge,CC-CS-700,EXPERIMENT,VERTEX_AI_GEMINI,ROUTE-012,CLOUD_MANAGED_API,CONFIDENTIAL,CONTROLLED,PENDING_M22,,THR-012,GOV-CONFIDENTIAL-US,2026-07-31,2026-04-01,2026-07-31
