control_id,tier,control_domain,control_name,control_owner,failure_action,release_behavior,implementation_milestone,status
P2-FIN-01,TIER_1,RECONCILIATION,Provider usage reconciliation,AI FinOps,BLOCK_RELEASE,RELEASE_BLOCKING,M23_M24,DEFINED
P2-FIN-02,TIER_1,RECONCILIATION,Invoice and cloud billing reconciliation,AI FinOps,BLOCK_RELEASE,RELEASE_BLOCKING,M23_M24,DEFINED
P2-FIN-03,TIER_1,PRICING,Effective-dated rate-card calculation,AI FinOps,BLOCK_RELEASE,RELEASE_BLOCKING,M23_M24,DEFINED
P2-FIN-04,TIER_1,REQUEST_INTEGRITY,Logical request integrity,Data Engineering,BLOCK_RELEASE,RELEASE_BLOCKING,M26,DEFINED
P2-FIN-05,TIER_1,ALLOCATION,Allocation conservation,AI FinOps,BLOCK_RELEASE,RELEASE_BLOCKING,M26,DEFINED
P2-FIN-06,TIER_1,FULLY_LOADED_COST,Fully loaded cost reconciliation,AI FinOps,BLOCK_RELEASE,RELEASE_BLOCKING,M25_M26,DEFINED
P2-FIN-07,TIER_1,BUDGET,Budget decomposition integrity,Finance,BLOCK_RELEASE,RELEASE_BLOCKING,M22,DEFINED
P2-FIN-08,TIER_1,OPTIMIZATION,Savings-stage integrity,AI FinOps,BLOCK_RELEASE,RELEASE_BLOCKING,M30,DEFINED
P2-FIN-09,TIER_1,REPORTING,Dashboard and governed SQL reconciliation,BI Engineering,BLOCK_RELEASE,RELEASE_BLOCKING,M32_M33,DEFINED
P2-OPS-01,TIER_2,SCHEMA,Provider schema drift,Data Engineering,BLOCK_DEPLOYMENT_PENDING_REVIEW,DEPLOYMENT_BLOCKING,M23_M24,DEFINED
P2-OPS-02,TIER_2,TELEMETRY,Duplicate telemetry,Data Engineering,BLOCK_DEPLOYMENT_PENDING_REVIEW,DEPLOYMENT_BLOCKING,M26,DEFINED
P2-OPS-03,TIER_2,PRICING,Rate-window overlap and gap,AI FinOps,BLOCK_DEPLOYMENT_PENDING_REVIEW,DEPLOYMENT_BLOCKING,M23_M24,DEFINED
P2-OPS-04,TIER_2,OWNERSHIP,Ownership completeness,AI Governance,BLOCK_DEPLOYMENT_PENDING_REVIEW,DEPLOYMENT_BLOCKING,M21,DEFINED
P2-OPS-05,TIER_2,PROVIDER_MAPPING,Approved provider and model mapping,AI Governance,BLOCK_DEPLOYMENT_PENDING_REVIEW,DEPLOYMENT_BLOCKING,M21,DEFINED
P2-OPS-06,TIER_2,FORECAST,Forecast-version integrity,Finance,BLOCK_DEPLOYMENT_PENDING_REVIEW,DEPLOYMENT_BLOCKING,M27,DEFINED
P2-OPS-07,TIER_2,GUARDRAIL,Guardrail reproducibility,AI Governance,BLOCK_DEPLOYMENT_PENDING_REVIEW,DEPLOYMENT_BLOCKING,M29,DEFINED
P2-OPS-08,TIER_2,EXPERIMENT,Experiment-limit controls,Product Finance,BLOCK_DEPLOYMENT_PENDING_REVIEW,DEPLOYMENT_BLOCKING,M30,DEFINED
P2-REP-01,TIER_3,DOCUMENTATION,Documentation links and freshness,Repository Maintainer,DOCUMENT_EXCEPTION,NON_BLOCKING_EXCEPTION,M35,DEFINED
P2-REP-02,TIER_3,ARTIFACTS,Screenshot and metadata freshness,BI Engineering,DOCUMENT_EXCEPTION,NON_BLOCKING_EXCEPTION,M33_M35,DEFINED
P2-REP-03,TIER_3,FORMAT,Noncritical formatting conventions,Repository Maintainer,DOCUMENT_EXCEPTION,NON_BLOCKING_EXCEPTION,M35,DEFINED
