provider,usage_type,model_snapshot,normalized_processing_tier,is_batch,context_window_tier,effective_start,effective_end,input_rate_per_million,cached_input_rate_per_million,cache_write_5m_rate_per_million,cache_write_1h_rate_per_million,output_rate_per_million,contracted_discount,rate_currency,rate_basis,rate_source,retrieved_date,rate_status
openai,text_generation,gpt-4o-mini-2024-07-18,standard,false,standard,2025-01-01,2026-06-30,0.15,0.075,,,0.60,0,USD,official,OpenAI prompt caching announcement,2026-07-21,verified_for_project
openai,text_generation,gpt-4o-mini-2024-07-18,standard,true,standard,2025-01-01,2026-06-30,0.075,,,,0.30,0,USD,derived,Official standard rate multiplied by documented 50% Batch discount; cache disabled on batch rows in v1,2026-07-21,modeled_from_official_rule
openai,text_generation,gpt-5-2025-08-07,standard,false,standard,2025-08-07,2026-06-30,1.25,0.125,,,10.00,0,USD,official,OpenAI GPT-5 model documentation,2026-07-21,verified_for_project
openai,text_generation,gpt-5-2025-08-07,standard,true,standard,2025-08-07,2026-06-30,0.625,,,,5.00,0,USD,derived,Official standard rate multiplied by documented 50% Batch discount; cache disabled on batch rows in v1,2026-07-21,modeled_from_official_rule
openai,embedding,text-embedding-3-small,standard,false,standard,2025-01-01,2026-06-30,0.02,,,,0,0,USD,official,OpenAI text-embedding-3-small model documentation,2026-07-21,verified_for_project
openai,embedding,text-embedding-3-small,standard,true,standard,2025-01-01,2026-06-30,0.01,,,,0,0,USD,derived,Official standard rate multiplied by documented 50% Batch discount,2026-07-21,modeled_from_official_rule
anthropic,text_generation,claude-3-5-haiku-20241022,standard,false,standard,2025-01-01,2026-06-30,0.80,0.08,1.00,1.60,4.00,0,USD,official,Anthropic pricing documentation,2026-07-21,verified_for_project
anthropic,text_generation,claude-3-5-haiku-20241022,standard,true,standard,2025-01-01,2026-06-30,0.40,,,,2.00,0,USD,official,Anthropic Batch pricing documentation; cache disabled on batch rows in v1,2026-07-21,verified_for_project
anthropic,text_generation,claude-sonnet-4-20250514,standard,false,standard,2025-05-14,2026-06-30,3.00,0.30,3.75,6.00,15.00,0,USD,official,Anthropic pricing documentation,2026-07-21,verified_for_project
anthropic,text_generation,claude-sonnet-4-20250514,standard,true,standard,2025-05-14,2026-06-30,1.50,,,,7.50,0,USD,official,Anthropic Batch pricing documentation; cache disabled on batch rows in v1,2026-07-21,verified_for_project
anthropic,text_generation,claude-sonnet-4-20250514,standard,false,long,2025-05-14,2026-06-30,6.00,0.60,7.50,12.00,22.50,0,USD,official_and_derived_multipliers,Anthropic long-context prices with documented prompt-cache multipliers,2026-07-21,verified_for_project
anthropic,text_generation,claude-sonnet-4-20250514,standard,true,long,2025-05-14,2026-06-30,3.00,,,,11.25,0,USD,derived,Anthropic documented long-context prices multiplied by 50% Batch discount; cache disabled on batch rows in v1,2026-07-21,modeled_from_official_rule
