workload_id,workload_name,provider,provider_project_id,api_key_id,telemetry_application_name,usage_type,provider_model_name,provider_service_tier,is_batch,context_window_tier,calendar_profile,active_start,active_end,base_daily_requests,monthly_growth_rate,median_input_tokens,median_output_tokens,cache_read_share,cache_write_5m_share,cache_write_1h_share,reasoning_share_of_output,failure_rate,retry_rate,telemetry_coverage_pct,experiment_id
W001,Customer Support Copilot,openai,oa-project-customer,oa-key-support,Customer Support Copilot,text_generation,gpt-4o-mini,default,false,standard,customer,2025-01-01,2026-06-30,145,0.020,1300,420,0.25,0,0,0,0.035,0.060,0.92,
W002,Product Search Embeddings,openai,oa-project-commerce,oa-key-embedding,Product Search,embedding,text-embedding-3-small,default,false,standard,customer,2025-01-01,2026-06-30,230,0.025,640,0,0,0,0,0,0.012,0.025,0.88,
W003,Marketing Content Batch,openai,oa-project-growth,oa-key-marketing,Marketing Content Studio,text_generation,gpt-4o-mini,default,true,standard,campaign,2025-04-01,2026-06-30,48,0.015,2200,780,0,0,0,0,0.020,0.035,0.78,EXP-BATCH-002
W004,Executive Insight Assistant,openai,oa-project-enterprise,oa-key-executive,Executive Insight Assistant,text_generation,gpt-5,default,false,standard,business,2025-08-07,2026-06-30,54,0.030,5100,1550,0.34,0,0,0.28,0.025,0.050,0.95,
W005,Model Evaluation Lab,openai,oa-project-innovation,oa-key-lab,Model Evaluation Lab,text_generation,gpt-5,default,false,standard,business,2025-09-01,2026-06-30,28,0.010,4200,1750,0.15,0,0,0.35,0.075,0.115,0.70,EXP-MODEL-003
W006,Shared Growth Automation,openai,oa-project-growth,oa-key-shared,Shared Growth Automation,text_generation,gpt-4o-mini,default,false,standard,campaign,2025-01-01,2026-06-30,82,0.018,1800,520,0.20,0,0,0,0.032,0.055,0.84,
W007,Prompt Efficiency Test,openai,oa-project-customer,oa-key-prompt-test,Customer Support Copilot,text_generation,gpt-4o-mini,default,false,standard,business,2026-04-01,2026-05-31,32,0,1900,500,0.10,0,0,0,0.050,0.080,0.98,EXP-PROMPT-004
W008,Developer Assistant,anthropic,an-workspace-engineering,an-key-developer,Developer Assistant,text_generation,claude-sonnet-4,standard,false,standard,business,2025-05-14,2026-06-30,72,0.022,3600,980,0.27,0.08,0.03,0,0.028,0.045,0.90,
W009,Fraud Review Assistant,anthropic,an-workspace-risk,an-key-risk,Fraud Review Assistant,text_generation,claude-sonnet-4,standard,false,long,risk,2025-05-14,2026-06-30,34,0.018,235000,1650,0.18,0.06,0.02,0,0.022,0.040,0.93,
W010,Document Summarization Batch,anthropic,an-workspace-operations,an-key-batch,Document Summarization,text_generation,claude-sonnet-4,batch,true,standard,business,2025-06-01,2026-06-30,26,0.012,8500,1100,0,0,0,0,0.018,0.028,0.76,
W011,Cache Strategy Lab,anthropic,an-workspace-innovation,an-key-lab,Cache Strategy Lab,text_generation,claude-3-5-haiku,standard,false,standard,business,2025-09-01,2026-03-31,38,0.005,2800,620,0.22,0.12,0.04,0,0.045,0.070,0.82,EXP-CACHE-001
W012,Unmapped Prototype Key,anthropic,an-workspace-innovation,an-key-unmapped,Prototype Unknown,text_generation,claude-3-5-haiku,standard,false,standard,business,2025-02-01,2025-08-31,14,0,1700,430,0.05,0.03,0,0,0.065,0.090,0.62,
