threshold_policy_id,workload_id,quality_metric,minimum_quality_score,latency_metric,maximum_latency_ms,minimum_success_rate,maximum_error_rate,maximum_retry_rate,effective_start,effective_end
THR-001,P2-W001,RESPONSE_ACCEPTANCE,0.90,P95_RESPONSE_LATENCY,4000,0.980,0.020,0.060,2026-01-01,9999-12-31
THR-002,P2-W002,RETRIEVAL_RELEVANCE,0.92,P95_RESPONSE_LATENCY,1200,0.995,0.005,0.030,2026-01-01,9999-12-31
THR-003,P2-W003,CONTENT_ACCEPTANCE,0.85,P95_JOB_COMPLETION_LATENCY,900000,0.970,0.030,0.040,2026-01-01,9999-12-31
THR-004,P2-W004,GROUNDEDNESS,0.92,P95_RESPONSE_LATENCY,7000,0.980,0.020,0.050,2026-01-01,9999-12-31
THR-005,P2-W005,CODE_ACCEPTANCE,0.88,P95_RESPONSE_LATENCY,6000,0.980,0.020,0.050,2026-01-01,9999-12-31
THR-006,P2-W006,REVIEW_ACCURACY,0.95,P95_RESPONSE_LATENCY,8000,0.990,0.010,0.040,2026-01-01,9999-12-31
THR-007,P2-W007,SUMMARY_ACCEPTANCE,0.90,P95_RESPONSE_LATENCY,10000,0.980,0.020,0.040,2026-01-01,9999-12-31
THR-008,P2-W008,GROUNDEDNESS,0.90,P95_RESPONSE_LATENCY,5000,0.980,0.020,0.050,2026-01-01,9999-12-31
THR-009,P2-X001,GROUNDEDNESS,0.92,P95_RESPONSE_LATENCY,7500,0.975,0.025,0.060,2026-02-01,2026-06-30
THR-010,P2-X002,CONTENT_ACCEPTANCE,0.85,P95_JOB_COMPLETION_LATENCY,1200000,0.950,0.050,0.050,2026-03-01,2026-06-30
THR-011,P2-X003,RESPONSE_ACCEPTANCE,0.90,P95_RESPONSE_LATENCY,4500,0.975,0.025,0.070,2026-04-01,2026-07-31
THR-012,P2-X004,SUMMARY_ACCEPTANCE,0.90,P95_RESPONSE_LATENCY,10000,0.975,0.025,0.050,2026-04-01,2026-07-31
