approved_route_id,workload_id,provider_channel_id,approved_model_key,provider_model_identifier_status,region_policy,deployment_method,approval_status,approved_by,effective_start,effective_end,review_date
ROUTE-001,P2-W001,OPENAI_DIRECT,OPENAI_GPT4O_MINI,VERIFIED_V1,US_ONLY,DIRECT_API,APPROVED,AI Governance Council,2026-01-01,9999-12-31,2026-09-30
ROUTE-002,P2-W002,VERTEX_AI_GEMINI,VERTEX_TEXT_EMBEDDING,TO_BE_MAPPED_M24,US_ONLY,CLOUD_MANAGED_API,APPROVED_FOR_DESIGN,AI Governance Council,2026-01-01,9999-12-31,2026-09-30
ROUTE-003,P2-W003,OPENAI_DIRECT,OPENAI_GPT4O_MINI,VERIFIED_V1,US_ONLY,DIRECT_API,APPROVED,AI Governance Council,2026-01-01,9999-12-31,2026-09-30
ROUTE-004,P2-W004,ANTHROPIC_DIRECT,ANTHROPIC_CLAUDE_SONNET_4,VERIFIED_V1,US_ONLY,DIRECT_API,APPROVED,AI Governance Council,2026-01-01,9999-12-31,2026-09-30
ROUTE-005,P2-W005,AMAZON_BEDROCK,BEDROCK_CLAUDE_SONNET,TO_BE_MAPPED_M23,US_ONLY,CLOUD_MANAGED_API,APPROVED_FOR_DESIGN,AI Governance Council,2026-01-01,9999-12-31,2026-09-30
ROUTE-006,P2-W006,AMAZON_BEDROCK,BEDROCK_CLAUDE_SONNET,TO_BE_MAPPED_M23,US_ONLY,CLOUD_MANAGED_API,APPROVED_FOR_DESIGN,AI Governance Council,2026-01-01,9999-12-31,2026-09-30
ROUTE-007,P2-W007,VERTEX_AI_GEMINI,VERTEX_GEMINI_FLASH,TO_BE_MAPPED_M24,US_ONLY,CLOUD_MANAGED_API,APPROVED_FOR_DESIGN,AI Governance Council,2026-01-01,9999-12-31,2026-09-30
ROUTE-008,P2-W008,HOSTED_OPEN_SOURCE,HOSTED_LLAMA_8B,TO_BE_MAPPED_M25,US_ONLY,HOSTED_ENDPOINT,APPROVED_FOR_DESIGN,AI Governance Council,2026-01-01,9999-12-31,2026-09-30
ROUTE-009,P2-X001,ANTHROPIC_DIRECT,ANTHROPIC_CLAUDE_SONNET_4,VERIFIED_V1,US_ONLY,DIRECT_API,APPROVED_EXPERIMENT,AI Governance Council,2026-02-01,2026-06-30,2026-06-30
ROUTE-010,P2-X002,OPENAI_DIRECT,OPENAI_GPT4O_MINI,VERIFIED_V1,US_ONLY,DIRECT_API,APPROVED_EXPERIMENT,AI Governance Council,2026-03-01,2026-06-30,2026-06-30
ROUTE-011,P2-X003,AMAZON_BEDROCK,BEDROCK_CLAUDE_SONNET,TO_BE_MAPPED_M23,US_ONLY,CLOUD_MANAGED_API,APPROVED_EXPERIMENT_DESIGN,AI Governance Council,2026-04-01,2026-07-31,2026-07-31
ROUTE-012,P2-X004,VERTEX_AI_GEMINI,VERTEX_GEMINI_FLASH,TO_BE_MAPPED_M24,US_ONLY,CLOUD_MANAGED_API,APPROVED_EXPERIMENT_DESIGN,AI Governance Council,2026-04-01,2026-07-31,2026-07-31
